ORF	NAME	TCA	Resp	Ribo	Proteas	Hist	HTH	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YAL023C	PMT2   PROTEIN GLYCOSYLATION    DOLICHYL PHOSPHATE-D-MANNOSE:PROTEIN O-D-MANNOSYLTRANSFERASE	-1	-1	-1	-1	-1	-1	-0.67	-1.22	-0.3		0.54	0.31	0.25	-0.4	-0.3	-0.4	-0.2	0.04	0.01	0.16	0.3	0.08	0.04	-0.36	-1.47	-1.15	-1.09	-0.64	-0.15	-0.15	0.16	0.31	0.2	0.25	-0.36	0.16	-0.29	-0.36	0.12	-0.81	-0.51	-0.42	-0.49	-0.89	-0.69	-0.32	-0.4	-0.64	-0.76	-0.6	-0.89	-0.2	-1.03	-0.23	0.33	0.25	-0.38	-0.92	-1.15	0.03	-0.47	-0.79	0.88	0.15	0.32	-0.42	-0.09	0.23	0.4	0.42	0.45	-0.6	0.86	0.65	0.51	-0.2	0.06	-0.3	0.12	0.12	0.1	-0.34		-1.36	-1.15
YAL024C	LTE1   CELL CYCLE               GDP/GTP EXCHANGE FACTOR	-1	-1	-1	-1	-1	-1	-0.18	0.14	-0.06	0.54	0.16	-0.25	0.26	0.33	0.06		-0.2	-0.22	-0.12	-0.22	0.29	-0.01	-0.2	-0.23	-0.1	-0.71	-0.58	-0.58	-0.34	-0.04	-0.18	-0.45	-0.29	-0.34	-0.58	-0.92	-0.97	-0.56	-0.4		-0.15	0.7	-0.04	0.82	0.59	0.24	0.96	-0.1	0.15	-0.1	-1.15	0.45	-0.76	-0.15	0.3	0.21	0.1	0.31	-0.14	-0.2	-0.09	-0.94	1.01	0.89	-0.14	0.28	0.12	0.44	-0.36	0.9	-0.89	-0.56	-1	-0.86	-0.03	0.42	0.99	0.08	-0.2	-0.47	-0.14	-0.27	-0.51	-0.27	-0.69
YAL025C	MAK16  DSRNA VIRUS PROPAGATION  UNKNOWN; ESSENTIAL GENE 	-1	-1	-1	-1	-1	-1	-0.01	-1.69	-0.79	-0.6	0.03	-0.03	0.01	0.51	0.14	-0.14	-0.03	-0.3	-0.09	-0.15	-0.42	-0.06	0.26	0.04	-1.47	-0.86	-0.43	0.11	0.65	0.11	-0.29	-0.29	-0.58	-0.22	-0.6	-1.09	-0.81	-0.79	-0.17	1.01	0.58	-0.07	0.42	0.49	0.43	0.04	-0.03	0.56	0.21	0.71	0.58		0.39	-0.14	-1.84	-1.12	-2.4	-1.03	-0.6	-1.4	-1	0.18	-4.32	-3.64	-0.45	-3.06	-1.25	-1.03	-0.84	-0.47	-0.17	-0.42	-1.29	-0.94	-0.2	-0.25	-0.3	0.66	0.3	-0.1		-0.76	-0.81	-2.06	-2.25
YAL026C	DRS2   TRANSPORT                CA(2+) TRANSPORTING ATPASE	-1	-1	-1	-1	-1	-1	0.01	-0.01	-0.2	-0.45	0.01	-0.6		0.31	-0.1	0.34	-0.32	0.32		-0.06	-0.25	0.57	-0.29	0.15	-0.6	-0.47	0.11	0.21	-0.06	-0.14	0.19	-0.01	0.43	0.83	-0.07	0.29	-0.56	0.42	-0.34	-0.36	-0.29	-0.27	-0.56	-0.29	-0.3	-0.43	-0.89		-0.49	0.33	-0.42	-0.47	-0.51	0.28	-0.15	0.61	0.77	1.32	1.47	-0.62	0.43		-0.01	0.21	0.98	1.56	0.93	0.38	0.2	0.25	-0.32	-0.36	-0.2	-0.51	0.48	0.56	1.01	-0.6	0.19	0.6	0.46	0.78	0.73	1.52	0.75
YAL029C	MYO4   CELL POLARITY            MYOSIN; ASYMMETRIC HO EXPRESSION	-1	-1	-1	-1	-1	-1	0.08	-0.2	-0.17	-0.18	-0.07	-0.27	-0.01	0.44	0.15	0.51	-0.58	0.33	-0.04	0.04	-0.23	0.67	0.24	0.42	-0.81	-0.32	0.24	0.07	-0.04	-0.12	0.41	-0.22	-0.03	0.4	0.06	0.12	-0.6	0.11	-0.25	-0.4	-0.12	-0.18	-0.54	-0.09	-0.36	-0.58	-0.06		-0.22	0.41	-0.45	-0.42	-0.34	0.06	-0.2	0.21	0.12	0.11	-0.4	-0.69	-0.15	-0.71	-0.4	0.32	-0.36	-0.89	-0.86	-0.23	-0.2	0.4	-0.84	-1	-0.38	-0.36	-0.29	-0.32	0.24	0.43	-0.06	0.87	0.12	-0.1	-0.23	-0.84	-1
YAL030W	SNC1   SECRETION                GOLGI V-SNARE	-1	-1	-1	-1	-1	-1	-0.01	-0.2	0.15	0.07	0.24	0.23		0.49	0.1	-0.07	0.08	0.44	-0.09	-0.12	0.23	0.44	0.11	0.21	0.64	-0.2		0.16	0.15	-0.32	-0.14	-0.14	-0.17	-0.43	-0.06	-0.2	-0.38	-0.14	-0.04	0.28	0.08	-0.45	-0.6		-0.1	0.67	-0.74		-0.4	0.16	-0.49	-0.18	-0.94	0.16	0.42	0.54	0.48	0.42	0.36	0.1	0.21	-0.42	0.34	0.86		0.01	-0.01	-0.23	-0.12	0.2	-0.04	-0.45	0.04	-0.1	0.1	-0.2	-0.36	-0.07	-0.01	0.31	0.06	-0.14	-0.32	0.71	0.44
YAL033W	POP5   TRNA PROCESSING          RNASE P AND RNASE MRP SUBUNIT	-1	-1	-1	-1	-1	-1	-0.58	-0.25	-0.43	-0.38	-0.51	-0.36	-0.14	0.24	-0.2	0.06	-0.49	0.04	-0.1	-0.12	-0.64	0.03	0.11	0.08	-0.01	-0.36	-0.29	0.36	-0.09	0.01	0.01	-0.06	-0.45	-0.22	0.04	-0.18	-0.62	-0.2	-0.18	0.28	0.18	-0.12	-0.32	-0.74	-0.38	-0.29	-0.04		-0.06	0.92	-0.67	-0.42	-0.07	0.28	0.16	-0.23	-0.14	0.34	-0.17	0.19	-0.04	-0.18	0.44	-0.07	2.11	-1.43	-0.6	-0.62	-1.29	0.08	-0.34	0.06	-0.89	-0.47	-0.49	0.26	-0.47	-0.03	-0.18	0.01	-0.23	-0.38	-0.47	-0.23	-0.71
YAL038W	CDC19  GLYCOLYSIS               PYRUVATE KINASE	-1	-1	-1	-1	-1	-1	-0.09	-0.58	-0.23	-0.2	-0.12	-0.42	0.11	0.14	0.12	0.24	-0.12	0.04	-0.09	0.11	0.19	0.31	0.03	0.45	-0.49	-0.2	0.2	0.88	0.53	0.15	0.58	0.07	0.36	0.19	-0.71	-0.2	0.33	0.34	-0.79	-0.71	-0.67	-0.27	0.26	0.19	0.29	0.28	0.1	0.04	0.25	0.12	-0.09	-0.14	-0.15	-0.06	-1.69	-2.32	-2.4	-0.81	-1.6	0.73	-0.54	-0.09	-2.56	-4.32	0.3	0.18	-0.69	-0.84	-0.6	-0.86	-0.14	-0.76	0.51	0.01	0.3	-0.12	0.11	-0.42	0.1	0.19	0.29	-0.36	-0.4	-1.32	-2.32
YAL039C	CYC3   CYTOCHROME C BIOSYNTHESI CYTOCHROME C HEME LYASE	-1	-1	-1	-1	-1	-1	0.28	-0.1	0.1	-0.54	-0.03	0.14	-0.22	0.04	0.08	0.04		-0.25	-0.27	-0.49	0.12	-0.04		-0.23	-0.43	-0.34	-0.79	0.08	-0.1	-0.58	-0.79	-0.14	0.01	-0.06	-0.29	0.03	0.25	-0.2	1.49	1.08	0.51	0.6	0.58	0.94	1.09	1.26	0.61	0.71	0.86	1.08	1.26	1.03	1.17	-0.03	-0.38	-0.58	-0.34	-0.49	-0.29	-0.04	0.18	0.18	-1.69	-1.32	0.29	0.06	0.16	0.57	0.16	-0.03	-0.56	-0.38	-0.58	-0.69	0.14	0.6	-0.01	0.21	-0.17	-0.1	0.06	-0.36	0.11	-0.14	-0.51
YAL040C	CLN3   CELL CYCLE               G1/S CYCLIN	-1	-1	-1	-1	-1	-1	1.31	0.45	0.74	-0.76	-0.36	-0.42	0.37	0.1	0.8	0.95	0.77	0.07	-0.07	-0.32	-0.04	0.01	0.38	0.7	-1	-0.32	-0.58	0.16	-0.17	-0.15	-0.67	-0.69	-0.2	-0.07	-0.47	0.21	0.2	-0.01	1.12	1.25	0.69	0.51	0.68	0.87	1.06	0.43	0.25	0.07	0.33	0.38	0.14	-0.03	0.04	-0.17	-1.69	-2.25	-2.56	-0.3	-2.4	0.38	-0.54	-0.3	-2.64	-2.06	-0.17	0.01	-0.32	-0.49	-0.27	0.46	-0.97	-0.67	-0.43	-0.62	0.06	0.24	0.67	0.68	-0.01	0.08	0.3	-0.58	-0.67	0.18	-0.47
YAL041W	CDC24  CELL POLARITY            GDP/GTP EXCHANGE FACTOR FOR CDC42P	-1	-1	-1	-1	-1	-1	-0.27	-0.74	-0.22	0.11	-0.09	0.01	-0.07	0.32	-0.23	-0.14	-0.18	0.03	-0.29	-0.23	0.04	0.1	0.04	-0.23	0.11	-0.43	-0.4	-0.12	-0.1	-0.54	-0.62	-0.36	-0.38	-0.3	-0.56	-0.34	-0.51	-0.34	-0.14	-0.22	-0.06	0.12	0.19	0.28	0.16	0.03	-0.18	0.15	-0.1	0.11	-0.06	-0.2	-0.43	-0.18	-0.64	-0.84	-1.06	-1.09	-0.92	0.01	-0.15	-0.38	-0.27	-0.36	0.1	0.32	0.5	0.46	0.39	0.36	-0.38	-0.69	0.01	-0.22	0.3	0.34	0.72	0.53	0.12	-0.03	0.06	-0.62	-0.29	-0.81	-0.47
YAL043C	PTA1   TRNA PROCESSING          UNKNOWN	-1	-1	-1	-1	-1	-1	-0.2	-0.17	-0.15	-0.34	-0.29	-0.36	0.07	-0.25	0.04	-0.1	0.03	-0.62	-0.15	-0.36	-0.03	-0.07	-0.36	-0.25	0.07	-0.03	-0.17	0.44	0.12	-0.04	0.3	-0.09	0.11	-0.22	-0.42	0.21	-0.3	0.38	-0.43	0.11	-0.04	0.12	-0.76	0.38	0.15	-0.06	-0.04	0.14	-0.07	0.15	-0.43	-0.34	-0.38	-0.06	0.03	-0.03	0.71	0.8	0.58	-0.29	0.98	0.29	0.08	0.24	0.39	0.14	0.42	0.89	-0.09	0.74	-1	-0.86	-0.49	-0.43	0.38	0.69	1.36	0.74	0.03	-0.1	-0.62	-1.15	-0.62	-1.12	-0.4
YAL051W	YAF1   PEROXISOME PROLIFERATION TRANSCRIPTIONAL ACTIVATOR OF POX1	-1	-1	-1	-1	-1	-1	-0.07	0.25	0.12	-0.29	0.29	-0.1	0.18	0.39	0.16	0.29	-0.03	0.2	0.04	-0.14	0.15	0.5	0.44	0.08	2.62	-0.17	-0.07	0.04	-0.12	-0.29	0.2	-0.27	-0.06	-0.4	-0.54	-0.94	-1.25	-0.12	-0.09	-0.14	-0.04	0.01	0.1	-0.51	0.03	0.06	-0.06	-0.14	-0.07	0.07	-0.04	-0.17	-0.03	0.08	-0.18	-0.25	-0.01	0.06	-0.07		0.06	0.19	-0.01	0.18	-0.15	-0.2	-0.07		-0.14	0.12	-0.17	-0.43	-0.3	-0.2	-0.43	-0.09	-0.22	-0.38	-0.04	0.4	0.41	0.24	0.16	-0.17	-0.12
YAL054C	ACS1   ACETYL-COA BIOSYNTHESIS  ACETYL-COA SYNTHETASE	-1	-1	-1	-1	-1	-1	-0.22	0.66	0.1	0.11	0.12	0.04	0.11	-0.23	-0.14	-0.51	-0.36	-0.47	0.01	-0.81	-0.07	-0.34	-0.42	0.11	-1.43	0.48	-0.43	-0.15	-1.29	-1.32	-0.32	0.74	1.17	0.83	-0.27	0.92	1.24	0.74	-0.54	-0.29	-0.38	-0.49	-0.92	-0.67	-0.6	-0.71	-1.22		-0.92	0.56	-0.76	-0.6	-0.84	0.51	1.9	1.7	1.35	-0.03	-0.23	0.55	-0.2	-1.6	2.74	2	0.42	0.49	0.15	0.44	-0.38	0.55	-0.94	-0.4	-0.4	-0.79	0.11	0.76	0.6	0.33	-0.67	-0.18		-0.18	-0.3	1.47	3.7
YAL058W	CNE1   SECRETION                CALNEXIN AND CALRETICULIN HOMOLOG	-1	-1	-1	-1	-1	-1	-0.03	-0.25	0.43	0.08	0.15	0.12	0.08	0.3	0.46	0.08	0.89	0.53	0.1	0.1	0.43	0.52	-0.15	0.15	-0.89	-0.2	-0.38	0.03	-0.01	-0.38	-0.3	-0.15	-0.22	-0.25	-0.42	-0.14	-0.49	-0.29	-0.04	-0.03	0.08	-0.47	-0.71	-0.15	0.03	-0.22	0.04		-0.38	0.06	-0.18	-0.18	-0.94	0.15	-0.07	0.04	-0.56	-0.74	-0.51	0.03		-0.1	0.12	0.54	0.99	-0.07	0.3	0.5	0.55	0.67	-0.69	-0.74	-0.76	-0.69	-0.12	0.12	1.14	-0.12	0.04	0.3	0.2	0.04	-0.2	0.03	-0.1
YAL059W	ECM1   CELL WALL BIOGENESIS     UNKNOWN	-1	-1	-1	-1	-1	-1	-0.01	-0.86	-1.03	-0.45	-0.1	0.06	0.18	0.1	-0.03	0.23	-0.47	0.11	-0.2	-0.07	-0.36	0.23	0.03	0.31	-1.09	-0.29	0.37	-0.29	0.99	0.37	-0.18	-0.09	-0.29	-0.27	-0.04	-0.69	-0.62	-0.22	1.64	1.76	1.18	0.51	0.38	0.58	0.4	0.19	-0.23		0.37	0.72	0.2	-0.27	-0.04	0.31	-0.51	-0.67	-0.3	0.59	0.77	-0.67	-0.36	0.7	-1.6	-0.74	1.06	-2.32	-1.15	-1.36	-1.32	-0.47	-0.47	-0.67	-1.4	-1.25	-0.6	-0.23	-0.71	0.76	-0.32	0.19	-0.09	-0.86	-1.06	-1.36	-1.79
YAL062W	GDH3   GLUTAMATE BIOSYNTHESIS   NADP-GLUTAMATE DEHYDROGENASE	-1	-1	-1	-1	-1	-1	0.14	0.11	0.14	0.19	0.01	-0.18	0.18	0.14	-0.15	0.29	-0.01	0.41	0.24	-0.15	0.14	0.74	0.29	0.1	1.12	0.34		0.59	0.03	-0.17	0.11	-0.17	-0.01	0.01	-0.67	-0.03		0.01	-0.04	-0.3	0.08	0.08	-0.15	0.08	0.03	-0.03	0.08		0.04	0.69	0.06	-0.18	-0.94	0.3	3	1.44	0.31	0.34	1.36	2.19	-0.89	0.06	1.71	-2.94	0.21	0.66	-0.01	-0.2	-0.12	-0.27	-0.34	-0.23	-0.06	-0.2	0.1	-0.04	-0.47	-0.45	0.32	0.32	-0.22	-0.29	-0.04	-0.71	-0.3
YAL067C	SEO1   DRUG RESISTANCE          SUPPRESSOR OF SULFOXYDE ETHIONINE	-1	-1	-1	-1	-1	-1	-0.01	1.6	0.2	-0.38	-0.07	0.11	0.67	0.25	0.36	-0.15	-0.51	-0.17	-0.01	-0.51	0.32	-0.43	0.08	0.06	-0.64	-0.4	-0.42	-0.15	-0.12	-0.36	-0.3	-0.49	-0.3	-0.6	-0.32	-0.54	-0.74	-0.84	-0.74	-0.01	0.83	0.75	-0.92	-1.36	-0.84	0.25	-0.74	-1.12	-1.43	-0.15	-1.51	-1.15	-0.89	-0.17	0.58	1.55	3.26	1.61	2.8	-1.03	1.53	0.86	0.03	0.7	0.1	-0.79	0.28	0.37	-0.04	0.71	-0.56	-0.15	-0.86	-0.49	0.18	0.51	0.32	0.24	-1.12	-1	-0.42	-1.03	-0.89	0.44	0.24
YAR007C	"RFA1   DNA REPLICATION          REPLICATION FACTOR A, 69 KD SUBUNIT"	-1	-1	-1	-1	-1	-1	-0.64	-0.58	0.7	0.76	0.51	-0.34	-0.51	0.62	-0.97	-0.34	0.37	0.64	0.29		-0.25	-0.51	-0.27	-0.51	-1.03	-0.36	-0.89	-0.43		0.31	0.34	0.25	0.15	0.06	-0.58	0.04	-0.29	-0.34	-0.71	0.37	0.9	-0.74	-1.84	-2	0.1	0.53	0.37	-1.06	-1.47	-0.97	0.16	-0.03	0.03	-0.14	2.41	2.1	2.04	0.57	0.84	0.57	-0.58	-1.79	3.08	2.86	-0.43	0.03	-0.1	-0.14	-0.27	-0.49	-0.38	-0.18	-0.03	-0.23	-0.1	0.08	-0.74	-0.3	-0.17	-0.32	-0.22	-0.25	-0.17	-0.51	-1.43
YAR008W	SEN34  TRNA SPLICING            SPLICING ENDONUCLEASE SUBUNIT	-1	-1	-1	-1	-1	-1	-0.43	-0.6	0.38	0.3	0.08	-0.27	-0.3	0.11	-0.45	-0.17	-0.29	0.41	-0.04	-0.29	-0.2	0.21	-0.3	-0.18	-0.25	-0.94	-0.49	-0.62	-0.06	0.33	-0.27	-0.23	-0.32	-0.34	0.07	-0.81	-0.76	-0.47	0.1	0.81	0.55	-0.86	-1.32	-1.09	-0.32	0.43	-0.18	-0.76	-1	-0.14	-0.2	-0.34	-0.45	-0.47	1.48	0.99	0.86	0.2	-0.27	0.12	-0.36	-0.38	2.3	1.3	0.31	-1.03	-0.54	-0.27	-0.86	0.16	-0.45	-0.01	-0.36	-0.74	0.23	0.73	0.07	-0.34	-0.25	-0.74	-0.51	-0.67	-0.64	-0.6	-1.12
