## There are #18 experiments in this file
## 001 -- alpha_factor_release_sample013
## 002 -- alpha_factor_release_sample014
## 003 -- alpha_factor_release_sample015
## 004 -- alpha_factor_release_sample016
## 005 -- alpha_factor_release_sample017
## 006 -- alpha_factor_release_sample018
## 007 -- alpha_factor_release_sample019
## 008 -- alpha_factor_release_sample020
## 009 -- alpha_factor_release_sample021
## 010 -- alpha_factor_release_sample022
## 011 -- alpha_factor_release_sample023
## 012 -- alpha_factor_release_sample024
## 013 -- alpha_factor_release_sample025
## 014 -- alpha_factor_release_sample026
## 015 -- alpha_factor_release_sample027
## 016 -- alpha_factor_release_sample028
## 017 -- alpha_factor_release_sample029
## 018 -- alpha_factor_release_sample030
ID	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015	alpha_factor_release_sample016	alpha_factor_release_sample017	alpha_factor_release_sample018	alpha_factor_release_sample019	alpha_factor_release_sample020	alpha_factor_release_sample021	alpha_factor_release_sample022	alpha_factor_release_sample023	alpha_factor_release_sample024	alpha_factor_release_sample025	alpha_factor_release_sample026	alpha_factor_release_sample027	alpha_factor_release_sample028	alpha_factor_release_sample029	alpha_factor_release_sample030
ykr042w	1.56	1.09	1.02	0.71	0.72	0.05	0.65	0.26	0.73	0.63	0.36	-0.47	-0.35	-0.65	-0.04	-0.39	0.35	0.09
ykr043c	0.35	0.89	0.18	-0.16	0.23	-0.4	0.46	-0.44	0.43	0.22	0.71	-0.34	0.31	-0.33	0.24	0.02	0.22	0.12
ykr044w	-0.17	-0.78	-0.37	-0.35	0.29	-0.18	0.31	0.19	-0.06	-0.29	-0.29	-0.44	-0.12	-0.24	0.01	-0.1	0.09	-0.23
ykr045c	-0.25	-0.08	-0.21	-0.2	-0.16	0.18	0.01	0.78	-0.19	-0.16	-0.39	-0.09	-0.29	-0.01	-0.35	-0.07	-0.08	0.02
ykr046c	0.02	-0.31	-0.11	-0.3	-0.08	-0.25	0.16	0.03	0.06	-0.23	-0.25	-0.42	-0.06	-0.36	0.14	-0.16	-0.34	-0.16
ykr047w	0.17	0.1	0.12	-0.23	-0.28	-0.19	0.29	-0.08	0.25	0.07	-0.06	0.01	-0.13	-0.04	-0.18	-0.18	0.19	0.04
ykr048c	0.19	-0.19	0.04	-0.04	0.07	-0.21	0.38	0.08	0.3	0.08	0.09	-0.23	-0.13	-0.39	0.05	-0.03	0.23	0.01
ykr049c	-0.07	0.04	-0.04	-0.23	-1	0.04	-0.34	-0.21	-0.03	0.18	-0.25	0.17	-0.29	0.16	-0.26	0.15	-0.29	0.15
ykr050w	0.31	-0.28	-0.02	-0.12	0.04	-0.02	0.1	0.31	0.17	-0.03	0.06	0.09	-0.03	0.08	0.16	0.38	0.09	0.08
ykr051w	-0.62	-0.27	-1	-0.64	-0.77	0.03	-0.24	-0.32	0.05	0.58	-0.18	-0.24	-0.28	-0.04	-0.24	0.18	-0.3	0.02
ykr052c	0.26	0.15	0.4	0.48	0.2	0.57	0.17	0.74	0.73	0.39	0.38	0.28	0.31	0.21	0.2	0.5	0.51	0.48
ykr053c	-0.62	-0.34	-0.93	-0.62	-0.91	0.05	-0.28	-0.24	0.07	0.42	0.23	0.26	-0.06	0.09	-0.28	0.19	-0.17	0.06
ykr054c	-0.31	-0.91	-1.16	-0.75	-0.05	-0.44	-0.22	-0.17	0.12	-0.24	-0.26	-0.13	-0.18	-0.25	-0.17	0.22	-0.15	0.03
ykl204w	-0.31	0.04	-0.77	-0.6	-0.47	-0.27	-0.14	-0.12	-0.04	NA	-0.04	NA	-0.15	NA	-0.37	0.01	-0.43	0.01
ykr055w	-0.28	-0.48	-1.58	-0.92	-1.42	0	-0.3	-0.13	0.15	-0.09	-0.42	-1.31	-0.24	-0.1	-0.82	-0.36	-0.13	-0.22
ykr056w	-0.03	-1.31	-0.96	-0.55	-0.41	-0.56	-0.3	0.13	0.08	-0.47	-0.31	NA	0.01	-0.14	-0.28	0	-0.27	NA
ykr057w	-0.22	0.02	-0.43	-0.15	-0.51	-0.19	-0.48	-0.26	0.1	0.3	-0.1	-0.21	0.04	-0.29	0.05	-0.03	-0.1	-0.06
ykr058w	0.1	0.6	-0.11	-0.67	-0.78	-0.55	-0.49	0.11	-0.25	-0.23	-0.07	-0.37	-0.25	0.03	-0.51	0.03	-0.29	-0.23
ykr059w	0.5	0.45	0.18	0.22	0.12	0.35	0.17	0.36	0.21	0.43	0.2	0.3	0.17	0.38	0.34	0.45	0.27	0.37
ykr060w	0.14	-0.39	-0.85	-0.76	-0.38	-0.5	0.08	0.24	0.44	0.15	-0.19	-0.5	0.17	-0.1	-0.3	0.24	-0.45	-0.07
ykr061w	1.28	0.66	-0.45	-1.04	-0.69	-0.67	-0.23	-0.63	-0.4	-0.39	-0.82	-0.8	-0.5	-0.34	-0.75	-0.46	-0.05	-0.18
ykr062w	0.15	0.05	-0.01	0.08	-0.19	-0.18	-0.15	-0.04	-0.02	-0.04	0.03	-0.02	-0.02	-0.24	0.12	-0.11	0.14	-0.1
ykl203c	-0.69	0.64	0.07	-0.19	0.25	-1.34	-0.2	-0.31	-0.18	-0.26	0.3	-0.17	-0.45	-0.89	0.53	0.23	-0.5	-0.51
ykr063c	-0.12	-0.64	-0.53	-0.64	-0.38	-0.62	-0.11	-0.43	-0.08	-0.05	-0.32	-0.19	-0.15	-0.09	-0.44	-0.3	0.12	0
ykr064w	-0.17	-0.68	-0.12	-0.3	-0.31	-0.44	-0.1	-0.17	-0.28	-0.36	-0.38	-0.23	-0.19	-0.43	-0.24	-0.13	0	-0.22
ykr065c	-0.1	-0.07	-0.05	-0.62	-0.2	-0.6	-0.04	-0.41	-0.18	-0.24	-0.34	-0.46	-0.2	-0.47	-0.36	-0.61	-0.1	-0.34
ykr066c	-0.1	-0.2	0.36	-0.01	0.08	-0.39	0.09	-0.26	-0.12	-0.01	0	-0.03	0.09	-0.39	-0.12	-0.44	-0.03	-0.42
ykr067w	-0.36	0.53	0.38	-0.52	-0.11	-0.59	-0.12	-0.38	-0.19	-0.21	-0.21	0.04	-0.29	-0.2	-0.29	-0.34	-0.11	-0.24
ykr068c	-0.15	NA	-0.16	-0.16	-0.14	-0.06	0.16	-0.13	-0.15	-0.49	-0.24	-0.37	0.03	-0.49	0.06	-0.21	0.14	-0.36
ykr069w	-0.35	0.41	-0.65	-1.35	-0.35	0.07	0.69	-0.03	0.02	-0.22	-0.34	-0.71	-0.47	-0.48	-0.34	0.1	0.09	-0.39
ykr070w	-0.01	-0.39	-0.07	-0.27	-0.09	-0.24	0.09	-0.3	-0.15	-0.46	-0.2	-0.2	-0.01	-0.41	-0.03	-0.34	-0.08	-0.4
ykr071c	0.13	-0.16	-0.28	-0.61	-0.24	-0.36	0.15	-0.12	-0.05	-0.09	-0.26	-0.2	-0.11	0.13	-0.13	-0.37	-0.3	-0.13
ykr072c	0.44	0.08	-0.18	-0.03	-0.09	-0.17	0.06	0.1	0.12	0.04	0.07	0.04	-0.08	0	-0.07	0	0.27	0.02
ykr073c	-0.41	0.15	-1.23	1.62	-0.25	0.11	-0.24	-0.1	-0.11	0.29	-0.36	-0.25	-0.32	0.38	-0.46	0.28	-0.11	0.1
ykr074w	0.42	0.3	0.15	0.4	-0.03	-0.1	-0.17	-0.15	0.2	0.04	0.23	0.01	0.31	-0.18	0.09	0.06	-0.22	-0.15
ykr075c	-0.21	-0.07	0.59	-1.03	NA	-0.44	-0.48	0.06	-0.23	-0.01	-0.5	-0.55	-0.14	-0.73	-1.3	-0.21	-0.4	-0.27
ykr076w	0.42	0.67	0.77	1.15	0.31	0.42	0.07	0.1	0.08	-0.23	0.06	-0.03	0.01	-0.15	-0.45	0.05	-0.17	-0.34
ykr077w	-0.69	0.58	1.5	0.62	-0.9	-0.09	-0.85	-1.1	-0.98	0.28	0.62	0.97	-0.06	-0.93	-1.19	-0.04	-0.62	-0.74
ykr078w	0.06	0.39	-0.55	-0.18	-0.23	-0.34	-0.22	-0.06	0.26	0.04	0.13	0.01	0.03	-0.11	-0.11	0.15	-0.14	0.11
ykr079c	-0.23	NA	-1.01	-0.44	-0.45	-0.3	-0.03	-0.08	0.2	0.29	0.16	0.21	-0.08	0.03	-0.47	0.04	-0.24	0.24
ykr080w	-0.31	0.91	0.2	-0.39	-0.53	-0.53	-0.05	0.04	0.48	-0.22	0.04	-0.36	-0.21	-0.19	0.08	0.37	-0.03	0.04
ykr081c	-0.16	-0.44	-1.34	-0.52	-0.65	-0.12	-0.09	0.01	0.33	0.36	-0.17	-0.11	-0.04	-0.16	-0.44	0.02	-0.03	0.1
ykr082w	-0.19	-0.26	-0.69	-0.33	-0.2	-0.28	-0.1	0.09	0.23	-0.02	0.28	-0.18	-0.07	0.11	0.39	0.66	-0.29	-0.06
ykr083c	-0.52	-0.45	NA	-0.26	-0.72	0.11	-0.39	-0.25	-0.22	0.08	-0.33	-0.01	-0.22	-0.27	-0.98	-0.17	-0.13	-0.27
ykr084c	0.14	0.24	-0.1	0.13	0.1	-0.14	-0.15	0.1	0.26	-0.02	0.43	0.37	0.16	0.19	0.15	0.34	-0.26	0.02
ykr085c	-0.17	-0.27	-0.14	-0.86	-0.2	-0.32	0.01	-0.27	-0.11	-0.18	-0.21	-0.11	-0.12	-0.35	-0.2	-0.4	-0.25	-0.31
ykr086w	-0.03	-0.06	-0.01	-0.22	-0.27	-0.7	-0.13	-0.4	-0.14	-0.28	-0.01	-0.16	-0.2	-0.54	0.08	-0.18	-0.07	-0.35
ykr087c	0.1	0.04	0.23	-0.65	-0.05	-0.19	0.07	0.11	0.03	-0.01	-0.01	-0.08	0.08	-0.09	-0.14	-0.23	0.08	0.05
ykr088c	0.09	-0.25	-0.03	-0.11	0.15	-0.13	0.38	-0.03	-0.03	-0.29	-0.19	-0.36	-0.03	-0.13	0.14	-0.21	-0.02	-0.4
ykr089c	0.1	0.01	-0.01	-0.96	-0.41	-0.4	-0.07	-0.49	-0.12	0.14	-0.02	-0.18	-0.17	-0.21	-0.13	-0.25	-0.22	-0.08
ykr090w	-0.79	-0.92	-0.18	0.51	0.1	-0.1	0	-0.35	-0.45	-0.33	0.02	0.3	0.22	-0.17	0.18	-0.24	0.08	-0.42
ykl221w	0.91	0.6	1.12	0.86	1.13	1.26	0.31	0.99	0.2	0.68	0.93	0.33	0.13	0.72	0.71	0.58	0.95	0.37
ykr091w	1.53	0.66	0.73	NA	0.09	0.22	0.1	-0.36	-0.47	-0.22	0.04	0.07	0.04	0.03	0.02	-0.04	0.1	-0.08
ykr092c	-0.24	-1.53	-1.08	-0.52	0.24	-0.08	0.31	-0.02	0.08	-0.11	-0.12	-0.37	-0.11	-0.12	0.06	-0.14	0.26	-0.34
ykr093w	-0.22	-0.47	-0.49	NA	-0.61	-1.05	-0.61	-1.17	-0.8	-0.64	-0.53	-0.65	-0.49	-0.73	-0.71	-0.86	-0.75	-0.73
ykr094c	0.27	-0.11	0.06	-0.02	0.07	-0.26	0.05	-0.08	-0.23	0.07	-0.06	-0.26	0.14	-0.12	0.39	-0.16	0.49	0
ykr095w	-0.12	0.7	-1.11	NA	-0.11	-0.84	-0.33	-0.54	-0.02	-0.36	-0.34	-0.66	-0.33	-0.43	-0.6	-0.31	-0.38	-0.26
ykr096w	0.16	0.48	-0.06	0.22	0.09	-0.07	0.1	0.34	0.42	0.15	0.71	-0.09	0.31	-0.11	1.36	0.38	0.15	-0.04
ykr097w	-0.55	0.03	-1.09	-0.01	-0.97	0.06	-0.35	-0.2	-0.36	0.14	-0.44	-0.09	-0.22	-0.25	-0.81	-0.13	-0.42	-0.26
ykr098c	0.15	0.38	0.42	-0.01	-0.69	-0.7	-0.67	-0.4	0.04	-0.18	0.09	-0.27	-0.18	-0.57	-0.45	-0.04	-0.32	-0.1
ykr099w	-0.68	-0.89	NA	-1.65	NA	-0.76	-0.35	-0.25	-0.07	0.04	-0.5	-0.45	-0.18	-0.69	-1.69	-0.13	-0.59	-0.1
ykl202w	-0.31	-0.03	-0.56	-0.37	-0.76	-0.27	-0.15	-0.26	-0.18	-0.25	-0.1	-0.29	-0.27	-0.19	-0.54	-0.03	-0.29	-0.06
ykr100c	0.16	0.03	0.14	0.4	0.31	0.19	0.01	0.04	0.26	-0.22	0.23	0.37	0.15	0.16	0.04	0.39	-0.1	-0.11
ykl201c	-0.2	0.07	0.42	NA	0.18	0.6	0.31	0.05	0	-0.09	-0.11	-0.4	-0.42	-0.1	0.19	0.21	0.32	-0.34
ykr101w	-1.67	NA	-0.87	-0.34	NA	-0.6	-0.49	-0.87	-0.37	-0.38	-0.51	-0.14	-0.19	-0.58	NA	-0.58	-0.83	-0.45
ykr102w	-0.22	0.45	-0.21	-0.09	-0.07	-0.27	-0.27	-0.12	-0.07	-0.22	0.03	-0.09	-0.1	-0.47	0.86	0.35	-0.54	-0.39
ykr103w	-1.18	0.8	NA	NA	NA	-0.62	-0.94	-0.82	-0.87	-1.4	NA	NA	-0.86	-0.41	NA	-1.09	-1.11	-1.13
ykr104w	-0.16	0.08	-0.08	-0.04	-0.07	-0.46	-0.11	-0.47	-0.01	-0.2	0.4	-0.27	0.56	0.09	0.28	0.46	-0.53	-0.46
ykl198c	-0.22	-0.5	-0.17	0.12	-0.15	-0.53	-0.12	-0.35	-0.41	-0.13	-0.45	-0.03	-0.3	-0.31	-0.52	-0.46	0.21	-0.43
ykl197c	0.01	-0.16	0.18	0.02	0.25	-0.13	0.16	0.1	0.07	NA	0.46	0.1	-0.01	-0.14	0.37	-0.02	0.21	-0.36
ykl196c	0.14	-0.19	0.09	0.12	-0.13	0.06	0.35	0.42	0.4	0.15	0.05	-0.13	0.21	-0.33	0.22	-0.14	-0.45	0
ykl195w	0.35	-0.07	-0.07	0.2	0.26	0.1	0.01	0.07	0.19	-0.18	0.21	-0.35	-0.04	0.2	0.15	0.07	0.25	-0.3
ykl194c	0.25	-0.02	0.36	0.11	-0.08	-0.31	0.01	-0.15	-0.02	-0.32	-0.08	-0.06	-0.05	-0.57	-0.64	-0.3	0.08	-0.09
ykl193c	-0.1	-0.28	-0.03	-0.43	0.39	-0.12	-0.14	-0.32	-0.26	-0.48	0.02	-0.55	-0.47	-0.53	-0.04	-0.24	-0.14	-0.86
ykl192c	-0.02	-0.27	0.07	-0.01	0.09	NA	0.21	-0.09	0.06	-0.15	-0.05	-0.39	0.12	-0.4	0.01	-0.5	-0.04	-0.44
ykl191w	0.05	-0.87	-0.73	-0.58	0.03	0.34	0.04	0.03	0.06	-0.05	-0.11	-0.28	-0.1	-0.05	0.06	-0.23	0.27	-0.18
ykl190w	-0.06	-0.19	0.07	-0.07	-0.21	-0.25	-0.03	-0.33	-0.03	-0.15	-0.15	-0.23	0.12	-0.33	-0.02	-0.27	0.43	-0.24
ykl189w	NA	0.61	-0.14	0.02	-0.5	-0.25	-0.9	0.04	0.06	0	0.16	0.12	0.03	0.03	-0.03	0.11	-0.19	-0.26
ykl188c	-0.73	-0.21	-1.17	-1.05	-1.66	-0.54	-0.51	-0.45	-0.63	-1.13	-0.55	-0.87	-0.36	-0.22	NA	-0.64	-0.79	-0.39
ykl187c	0.39	0.62	0.38	0.5	-0.54	0.36	-0.48	0.48	0	0.21	0.81	0.29	-0.08	0.38	0.11	0.47	-0.04	0.2
ykl220c	0.19	0.09	0.28	0.11	0.27	-0.29	0.21	-0.06	0.15	0.02	0.88	-0.15	0.5	-0.02	0.92	0.42	0.34	0.01
ykl186c	-0.17	-0.32	-1.02	-0.48	-0.09	-0.19	-0.07	-0.12	0.07	0.1	0.03	-0.01	-0.08	-0.35	-0.82	-0.39	-0.19	-0.07
ykl185w	-0.48	-1.53	-0.62	-1.75	-1.88	NA	NA	NA	-0.59	1.51	1.57	0.6	-0.22	-0.38	-1.1	-0.93	-1.22	0.42
ykl184w	0.27	0.21	0.24	0.39	0.18	0.15	0.19	0.29	0.39	0.35	0.18	0.09	0.15	0.25	0.09	0.22	-0.12	0.34
ykl183w	-0.29	-0.04	-0.28	-0.03	0.21	0.59	0.15	0.51	0.49	0.16	0.4	-0.06	-0.32	0.34	0.22	0.54	0.16	0.09
ylr431c	0.16	-0.15	-0.36	-0.29	-0.33	-0.39	-0.13	-0.34	0	-0.24	-0.09	-0.22	-0.22	-0.64	-0.64	0.1	-0.27	-0.13
ylr432w	-0.08	-0.25	-0.78	-0.51	-0.83	-0.41	-0.3	-0.36	-0.07	0.05	-0.1	-0.04	-0.13	-0.3	-0.11	0.06	-0.18	-0.02
ylr434c	-0.14	-0.21	-1.14	-0.35	-0.84	-0.01	-0.5	-0.09	-0.27	-0.38	-0.43	-0.27	-0.21	-0.48	NA	-0.16	-0.1	-0.16
ylr435w	0.37	-0.28	-0.62	-0.37	-0.26	0.12	-0.14	0.26	0.16	0	0.06	-0.05	-0.06	-0.17	-0.3	0.12	-0.04	0.05
ylr436c	-0.57	-0.2	-0.6	-0.24	-0.58	-0.25	0.03	-0.57	-0.41	-0.33	-0.38	0.11	-0.27	-0.34	-0.42	0	-0.52	-0.3
yll021w	-0.82	-0.09	-0.58	0.37	0.06	-0.12	0.18	-0.06	-0.13	-0.14	0.06	0.12	0.16	0	-0.1	0.45	-0.34	-0.24
ylr437c	-0.46	-0.35	-0.51	0.02	-0.03	0.01	0.4	0.05	0.16	0.01	0	-0.34	-0.14	0.08	0.21	0.46	-0.08	-0.18
ylr438w	-2.12	-1.01	-1.11	-0.63	-0.46	0.23	0.82	0.61	0.92	0.54	0.17	-0.01	-0.41	-1.11	-0.81	-0.18	-0.48	-0.33
ylr439w	-0.03	-0.25	-0.22	0.1	-0.04	-0.13	0.04	-0.13	0.04	-0.19	-0.09	-0.35	-0.12	0.2	-0.2	0.15	-0.25	-0.43
ylr440c	-0.07	-0.41	-0.2	-0.9	-0.15	-0.32	0.3	-0.04	-0.01	-0.07	-0.35	-0.12	-0.26	-0.26	-0.32	-0.15	-0.08	-0.07
ylr441c	0.28	-0.35	-0.17	-0.01	0.1	-0.15	0.15	-0.16	0.25	-0.04	0.33	-0.1	0.23	-0.05	0.6	0.14	0.25	0.13
ylr442c	-0.2	-0.79	-0.41	-1.1	-0.16	-0.46	-0.16	0.17	-0.04	-0.22	-0.15	-0.32	-0.32	-0.27	-0.27	-0.16	-0.47	0.05
ylr443w	0.43	0.11	0.4	0.38	0.15	0.46	0.25	0.34	0.06	-0.26	-0.13	-0.05	0.17	0.02	0.33	0.15	-1.21	0.03
ylr444c	0.27	0.1	0.19	-0.54	0.19	0.09	0.23	1	-0.1	-0.15	-0.11	-0.09	0.12	-0.01	0.13	-0.08	0.1	0.04
ylr445w	0.11	0.03	0.16	-0.13	0.15	0.62	0.22	0.19	-0.3	-0.2	-0.82	0.2	-0.02	0.22	-0.3	-0.02	NA	0.1
ylr446w	-0.18	-0.04	-0.5	-1.35	-0.27	-0.42	-0.15	-0.24	-0.11	-0.39	-0.25	-0.17	-0.32	-0.41	-0.31	-0.41	-0.27	0.02
ylr447c	0.05	-0.31	-0.19	-0.12	-0.06	-0.1	0	-0.15	-0.09	-0.12	0	-0.32	-0.11	-0.31	0.13	-0.16	0.23	-0.14
ylr448w	-0.04	-0.23	-0.28	-0.92	-0.31	-0.44	0	-0.27	-0.1	0.1	-0.13	-0.24	-0.05	-0.05	0.12	-0.2	-0.07	0.03
ylr449w	0.4	-0.23	-0.25	-0.06	-0.16	0.07	0.17	0.16	0.17	0.25	0.19	0.2	0.05	0.3	0.33	0.23	0.41	0.26
ylr450w	0.08	0.11	-0.17	-0.65	-0.12	-0.34	-0.01	-0.44	-0.18	-0.2	-0.25	-0.1	-0.08	-0.09	-0.19	-0.08	-0.06	0
ylr451w	0.29	-0.42	-0.23	-0.08	0.05	-0.13	-0.02	0.05	-0.1	-0.12	-0.27	-0.07	-0.01	0.12	0.1	-0.06	0.24	0.02
ylr452c	NA	1.29	-0.79	-0.96	-1.31	-0.55	-1.04	-0.88	-0.98	-0.28	-0.5	-0.01	-0.29	-0.16	-0.54	-0.4	-0.1	0.4
ylr453c	0.14	-0.17	-0.15	-0.19	-0.52	-0.2	-0.24	0.14	-0.01	-0.42	-0.38	-0.18	-0.34	-0.37	-0.89	0.14	-0.27	-0.02
ylr454w	0.11	0.53	-0.59	-0.57	-0.61	-1.24	-0.74	-1.05	-0.37	-0.86	0.04	-0.66	-0.47	-0.66	-0.12	-0.28	-0.71	-0.28
ylr455w	-0.05	-0.32	-0.69	0.03	-0.11	0.57	0.38	0.26	-0.02	-0.55	-0.47	-0.27	0.03	0.28	0.32	0.55	0.15	-0.11
ylr456w	-0.13	0.24	NA	-0.02	NA	-0.24	-0.81	-0.48	-0.47	-1.67	-1.1	0.24	-0.23	-1.6	NA	-0.64	-0.36	-0.29
ylr457c	0.04	0.17	0.47	0.52	0.03	0.05	-0.19	-0.2	-0.22	-0.51	0.14	0.45	-0.1	-0.04	-0.53	-0.04	-0.24	-0.37
ylr458w	-0.39	0.16	-0.19	0.28	-1.29	0.15	NA	0.15	0.28	-0.12	0	0.39	0.07	-0.47	NA	-0.17	0.02	-0.1
yll019c	-0.49	0.04	-0.18	0.29	-0.71	-0.2	-0.57	-0.41	-0.47	-0.12	-0.17	0.14	-0.04	-0.21	-0.4	0.07	-0.41	-0.12
ylr459w	-0.31	-0.27	-0.1	0.15	0.21	0.06	0.43	0.04	0.25	-0.38	0.03	-0.32	0.1	-0.1	0.14	0.05	-0.12	-0.31
ylr465c	-0.54	-0.25	1.35	1.33	0.29	-0.01	-0.26	-0.31	-0.31	0.1	0.77	1.04	0.4	-0.01	0.03	-0.02	-0.05	-0.21
yll018c	0.48	0.23	0.29	0.31	0.21	0.11	0.15	0.21	0.29	0.17	0.39	0.31	0.17	0.41	0.38	0.32	0.09	0.27
