YORF	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015	alpha_factor_release_sample016	alpha_factor_release_sample017	alpha_factor_release_sample018	alpha_factor_release_sample019	alpha_factor_release_sample020	alpha_factor_release_sample021	alpha_factor_release_sample022	alpha_factor_release_sample023	alpha_factor_release_sample024	alpha_factor_release_sample025	alpha_factor_release_sample026	alpha_factor_release_sample027	alpha_factor_release_sample028	alpha_factor_release_sample029	alpha_factor_release_sample030
YKR045C	-0.25	-0.08	-0.21	-0.2	-0.16	0.18	0.01	0.78	-0.19	-0.16	-0.39	-0.09	-0.29	-0.01	-0.35	-0.07	-0.08	0.02
YKR046C	0.02	-0.31	-0.11	-0.3	-0.08	-0.25	0.16	0.03	0.06	-0.23	-0.25	-0.42	-0.06	-0.36	0.14	-0.16	-0.34	-0.16
YKR047W	0.17	0.1	0.12	-0.23	-0.28	-0.19	0.29	-0.08	0.25	0.07	-0.06	0.01	-0.13	-0.04	-0.18	-0.18	0.19	0.04
YKR048C	0.19	-0.19	0.04	-0.04	0.07	-0.21	0.38	0.08	0.3	0.08	0.09	-0.23	-0.13	-0.39	0.05	-0.03	0.23	0.01
YKR049C	-0.07	0.04	-0.04	-0.23	-1	0.04	-0.34	-0.21	-0.03	0.18	-0.25	0.17	-0.29	0.16	-0.26	0.15	-0.29	0.15
YKR050W	0.31	-0.28	-0.02	-0.12	0.04	-0.02	0.1	0.31	0.17	-0.03	0.06	0.09	-0.03	0.08	0.16	0.38	0.09	0.08
YKR051W	-0.62	-0.27	-1	-0.64	-0.77	0.03	-0.24	-0.32	0.05	0.58	-0.18	-0.24	-0.28	-0.04	-0.24	0.18	-0.3	0.02
YKR052C	0.26	0.15	0.4	0.48	0.2	0.57	0.17	0.74	0.73	0.39	0.38	0.28	0.31	0.21	0.2	0.5	0.51	0.48
YKR053C	-0.62	-0.34	-0.93	-0.62	-0.91	0.05	-0.28	-0.24	0.07	0.42	0.23	0.26	-0.06	0.09	-0.28	0.19	-0.17	0.06
YKR054C	-0.31	-0.91	-1.16	-0.75	-0.05	-0.44	-0.22	-0.17	0.12	-0.24	-0.26	-0.13	-0.18	-0.25	-0.17	0.22	-0.15	0.03
YKL204W	-0.31	0.04	-0.77	-0.6	-0.47	-0.27	-0.14	-0.12	-0.04	0	-0.04	0	-0.15	0	-0.37	0.01	-0.43	0.01
YKR055W	-0.28	-0.48	-1.58	-0.92	-1.42	0	-0.3	-0.13	0.15	-0.09	-0.42	-1.31	-0.24	-0.1	-0.82	-0.36	-0.13	-0.22
YKR056W	-0.03	-1.31	-0.96	-0.55	-0.41	-0.56	-0.3	0.13	0.08	-0.47	-0.31	0	0.01	-0.14	-0.28	0	-0.27	0
YKR057W	-0.22	0.02	-0.43	-0.15	-0.51	-0.19	-0.48	-0.26	0.1	0.3	-0.1	-0.21	0.04	-0.29	0.05	-0.03	-0.1	-0.06
YKR058W	0.1	0.6	-0.11	-0.67	-0.78	-0.55	-0.49	0.11	-0.25	-0.23	-0.07	-0.37	-0.25	0.03	-0.51	0.03	-0.29	-0.23
YKR059W	0.5	0.45	0.18	0.22	0.12	0.35	0.17	0.36	0.21	0.43	0.2	0.3	0.17	0.38	0.34	0.45	0.27	0.37
YKR060W	0.14	-0.39	-0.85	-0.76	-0.38	-0.5	0.08	0.24	0.44	0.15	-0.19	-0.5	0.17	-0.1	-0.3	0.24	-0.45	-0.07
YKR061W	1.28	0.66	-0.45	-1.04	-0.69	-0.67	-0.23	-0.63	-0.4	-0.39	-0.82	-0.8	-0.5	-0.34	-0.75	-0.46	-0.05	-0.18
YKR062W	0.15	0.05	-0.01	0.08	-0.19	-0.18	-0.15	-0.04	-0.02	-0.04	0.03	-0.02	-0.02	-0.24	0.12	-0.11	0.14	-0.1
YKL203C	-0.69	0.64	0.07	-0.19	0.25	-1.34	-0.2	-0.31	-0.18	-0.26	0.3	-0.17	-0.45	-0.89	0.53	0.23	-0.5	-0.51
YKR063C	-0.12	-0.64	-0.53	-0.64	-0.38	-0.62	-0.11	-0.43	-0.08	-0.05	-0.32	-0.19	-0.15	-0.09	-0.44	-0.3	0.12	0
YKR064W	-0.17	-0.68	-0.12	-0.3	-0.31	-0.44	-0.1	-0.17	-0.28	-0.36	-0.38	-0.23	-0.19	-0.43	-0.24	-0.13	0	-0.22
YKR065C	-0.1	-0.07	-0.05	-0.62	-0.2	-0.6	-0.04	-0.41	-0.18	-0.24	-0.34	-0.46	-0.2	-0.47	-0.36	-0.61	-0.1	-0.34
YKR066C	-0.1	-0.2	0.36	-0.01	0.08	-0.39	0.09	-0.26	-0.12	-0.01	0	-0.03	0.09	-0.39	-0.12	-0.44	-0.03	-0.42
YKR067W	-0.36	0.53	0.38	-0.52	-0.11	-0.59	-0.12	-0.38	-0.19	-0.21	-0.21	0.04	-0.29	-0.2	-0.29	-0.34	-0.11	-0.24
YKR068C	-0.15	0	-0.16	-0.16	-0.14	-0.06	0.16	-0.13	-0.15	-0.49	-0.24	-0.37	0.03	-0.49	0.06	-0.21	0.14	-0.36
YKR069W	-0.35	0.41	-0.65	-1.35	-0.35	0.07	0.69	-0.03	0.02	-0.22	-0.34	-0.71	-0.47	-0.48	-0.34	0.1	0.09	-0.39
YKR070W	-0.01	-0.39	-0.07	-0.27	-0.09	-0.24	0.09	-0.3	-0.15	-0.46	-0.2	-0.2	-0.01	-0.41	-0.03	-0.34	-0.08	-0.4
YKR071C	0.13	-0.16	-0.28	-0.61	-0.24	-0.36	0.15	-0.12	-0.05	-0.09	-0.26	-0.2	-0.11	0.13	-0.13	-0.37	-0.3	-0.13
YKR072C	0.44	0.08	-0.18	-0.03	-0.09	-0.17	0.06	0.1	0.12	0.04	0.07	0.04	-0.08	0	-0.07	0	0.27	0.02
YKR073C	-0.41	0.15	-1.23	1.62	-0.25	0.11	-0.24	-0.1	-0.11	0.29	-0.36	-0.25	-0.32	0.38	-0.46	0.28	-0.11	0.1
YKR074W	0.42	0.3	0.15	0.4	-0.03	-0.1	-0.17	-0.15	0.2	0.04	0.23	0.01	0.31	-0.18	0.09	0.06	-0.22	-0.15
YKR075C	-0.21	-0.07	0.59	-1.03	0	-0.44	-0.48	0.06	-0.23	-0.01	-0.5	-0.55	-0.14	-0.73	-1.3	-0.21	-0.4	-0.27
YKR076W	0.42	0.67	0.77	1.15	0.31	0.42	0.07	0.1	0.08	-0.23	0.06	-0.03	0.01	-0.15	-0.45	0.05	-0.17	-0.34
YKR077W	-0.69	0.58	1.5	0.62	-0.9	-0.09	-0.85	-1.1	-0.98	0.28	0.62	0.97	-0.06	-0.93	-1.19	-0.04	-0.62	-0.74
YKR078W	0.06	0.39	-0.55	-0.18	-0.23	-0.34	-0.22	-0.06	0.26	0.04	0.13	0.01	0.03	-0.11	-0.11	0.15	-0.14	0.11
YKR079C	-0.23	0	-1.01	-0.44	-0.45	-0.3	-0.03	-0.08	0.2	0.29	0.16	0.21	-0.08	0.03	-0.47	0.04	-0.24	0.24
YKR080W	-0.31	0.91	0.2	-0.39	-0.53	-0.53	-0.05	0.04	0.48	-0.22	0.04	-0.36	-0.21	-0.19	0.08	0.37	-0.03	0.04
YKR081C	-0.16	-0.44	-1.34	-0.52	-0.65	-0.12	-0.09	0.01	0.33	0.36	-0.17	-0.11	-0.04	-0.16	-0.44	0.02	-0.03	0.1
YKR082W	-0.19	-0.26	-0.69	-0.33	-0.2	-0.28	-0.1	0.09	0.23	-0.02	0.28	-0.18	-0.07	0.11	0.39	0.66	-0.29	-0.06
YKR083C	-0.52	-0.45	0	-0.26	-0.72	0.11	-0.39	-0.25	-0.22	0.08	-0.33	-0.01	-0.22	-0.27	-0.98	-0.17	-0.13	-0.27
YKR084C	0.14	0.24	-0.1	0.13	0.1	-0.14	-0.15	0.1	0.26	-0.02	0.43	0.37	0.16	0.19	0.15	0.34	-0.26	0.02
YKR085C	-0.17	-0.27	-0.14	-0.86	-0.2	-0.32	0.01	-0.27	-0.11	-0.18	-0.21	-0.11	-0.12	-0.35	-0.2	-0.4	-0.25	-0.31
YKR086W	-0.03	-0.06	-0.01	-0.22	-0.27	-0.7	-0.13	-0.4	-0.14	-0.28	-0.01	-0.16	-0.2	-0.54	0.08	-0.18	-0.07	-0.35
YKR087C	0.1	0.04	0.23	-0.65	-0.05	-0.19	0.07	0.11	0.03	-0.01	-0.01	-0.08	0.08	-0.09	-0.14	-0.23	0.08	0.05
YKR088C	0.09	-0.25	-0.03	-0.11	0.15	-0.13	0.38	-0.03	-0.03	-0.29	-0.19	-0.36	-0.03	-0.13	0.14	-0.21	-0.02	-0.4
YKR089C	0.1	0.01	-0.01	-0.96	-0.41	-0.4	-0.07	-0.49	-0.12	0.14	-0.02	-0.18	-0.17	-0.21	-0.13	-0.25	-0.22	-0.08
YKR090W	-0.79	-0.92	-0.18	0.51	0.1	-0.1	0	-0.35	-0.45	-0.33	0.02	0.3	0.22	-0.17	0.18	-0.24	0.08	-0.42
YKL221W	0.91	0.6	1.12	0.86	1.13	1.26	0.31	0.99	0.2	0.68	0.93	0.33	0.13	0.72	0.71	0.58	0.95	0.37
YKR091W	1.53	0.66	0.73	0	0.09	0.22	0.1	-0.36	-0.47	-0.22	0.04	0.07	0.04	0.03	0.02	-0.04	0.1	-0.08
YKR092C	-0.24	-1.53	-1.08	-0.52	0.24	-0.08	0.31	-0.02	0.08	-0.11	-0.12	-0.37	-0.11	-0.12	0.06	-0.14	0.26	-0.34
YKR093W	-0.22	-0.47	-0.49	0	-0.61	-1.05	-0.61	-1.17	-0.8	-0.64	-0.53	-0.65	-0.49	-0.73	-0.71	-0.86	-0.75	-0.73
YKR094C	0.27	-0.11	0.06	-0.02	0.07	-0.26	0.05	-0.08	-0.23	0.07	-0.06	-0.26	0.14	-0.12	0.39	-0.16	0.49	0
YKR095W	-0.12	0.7	-1.11	0	-0.11	-0.84	-0.33	-0.54	-0.02	-0.36	-0.34	-0.66	-0.33	-0.43	-0.6	-0.31	-0.38	-0.26
YKR096W	0.16	0.48	-0.06	0.22	0.09	-0.07	0.1	0.34	0.42	0.15	0.71	-0.09	0.31	-0.11	1.36	0.38	0.15	-0.04
YKR097W	-0.55	0.03	-1.09	-0.01	-0.97	0.06	-0.35	-0.2	-0.36	0.14	-0.44	-0.09	-0.22	-0.25	-0.81	-0.13	-0.42	-0.26
YKR098C	0.15	0.38	0.42	-0.01	-0.69	-0.7	-0.67	-0.4	0.04	-0.18	0.09	-0.27	-0.18	-0.57	-0.45	-0.04	-0.32	-0.1
YKR099W	-0.68	-0.89	0	-1.65	0	-0.76	-0.35	-0.25	-0.07	0.04	-0.5	-0.45	-0.18	-0.69	-1.69	-0.13	-0.59	-0.1
YKL202W	-0.31	-0.03	-0.56	-0.37	-0.76	-0.27	-0.15	-0.26	-0.18	-0.25	-0.1	-0.29	-0.27	-0.19	-0.54	-0.03	-0.29	-0.06
YKR100C	0.16	0.03	0.14	0.4	0.31	0.19	0.01	0.04	0.26	-0.22	0.23	0.37	0.15	0.16	0.04	0.39	-0.1	-0.11
YKL201C	-0.2	0.07	0.42	0	0.18	0.6	0.31	0.05	0	-0.09	-0.11	-0.4	-0.42	-0.1	0.19	0.21	0.32	-0.34
YKR101W	-1.67	0	-0.87	-0.34	0	-0.6	-0.49	-0.87	-0.37	-0.38	-0.51	-0.14	-0.19	-0.58	0	-0.58	-0.83	-0.45
YKR102W	-0.22	0.45	-0.21	-0.09	-0.07	-0.27	-0.27	-0.12	-0.07	-0.22	0.03	-0.09	-0.1	-0.47	0.86	0.35	-0.54	-0.39
YKR103W	-1.18	0.8	0	0	0	-0.62	-0.94	-0.82	-0.87	-1.4	0	0	-0.86	-0.41	0	-1.09	-1.11	-1.13
NORF 1	0	0	0	0	-0.54	0	0	0.35	0	0	0	0	0	0	0	0.39	0	0
YKR104W	-0.16	0.08	-0.08	-0.04	-0.07	-0.46	-0.11	-0.47	-0.01	-0.2	0.4	-0.27	0.56	0.09	0.28	0.46	-0.53	-0.46
YKR105C	-0.71	0	-0.33	-1.5	0	-0.41	-0.4	-0.16	0.05	0.13	-0.17	-0.45	0.03	-0.12	0	0	-0.29	-0.24
YKR106W	0.24	-0.15	-0.19	0.05	0.06	-0.14	-0.36	0.11	-0.04	-0.26	0.03	-0.12	-0.2	-0.07	-0.12	-0.05	-0.35	-0.59
YKL199C	0.04	-0.47	0.36	0.24	0.14	0.12	0.04	-0.23	-0.09	0	0.31	-0.06	-0.09	-0.3	0.1	0.03	0.07	-0.51
YKL198C	-0.22	-0.5	-0.17	0.12	-0.15	-0.53	-0.12	-0.35	-0.41	-0.13	-0.45	-0.03	-0.3	-0.31	-0.52	-0.46	0.21	-0.43
YKL197C	0.01	-0.16	0.18	0.02	0.25	-0.13	0.16	0.1	0.07	0	0.46	0.1	-0.01	-0.14	0.37	-0.02	0.21	-0.36
YKL196C	0.14	-0.19	0.09	0.12	-0.13	0.06	0.35	0.42	0.4	0.15	0.05	-0.13	0.21	-0.33	0.22	-0.14	-0.45	0
YKL195W	0.35	-0.07	-0.07	0.2	0.26	0.1	0.01	0.07	0.19	-0.18	0.21	-0.35	-0.04	0.2	0.15	0.07	0.25	-0.3
YKL194C	0.25	-0.02	0.36	0.11	-0.08	-0.31	0.01	-0.15	-0.02	-0.32	-0.08	-0.06	-0.05	-0.57	-0.64	-0.3	0.08	-0.09
YKL193C	-0.1	-0.28	-0.03	-0.43	0.39	-0.12	-0.14	-0.32	-0.26	-0.48	0.02	-0.55	-0.47	-0.53	-0.04	-0.24	-0.14	-0.86
NORF 2	-0.24	-0.39	-0.5	-0.59	-0.67	-0.52	-0.31	-0.4	-0.4	-0.76	-0.29	-0.97	-0.43	-0.6	-0.34	-0.61	-0.36	-0.5
YKL192C	-0.02	-0.27	0.07	-0.01	0.09	0	0.21	-0.09	0.06	-0.15	-0.05	-0.39	0.12	-0.4	0.01	-0.5	-0.04	-0.44
YKL191W	0.05	-0.87	-0.73	-0.58	0.03	0.34	0.04	0.03	0.06	-0.05	-0.11	-0.28	-0.1	-0.05	0.06	-0.23	0.27	-0.18
YKL190W	-0.06	-0.19	0.07	-0.07	-0.21	-0.25	-0.03	-0.33	-0.03	-0.15	-0.15	-0.23	0.12	-0.33	-0.02	-0.27	0.43	-0.24
YKL189W	0	0.61	-0.14	0.02	-0.5	-0.25	-0.9	0.04	0.06	0	0.16	0.12	0.03	0.03	-0.03	0.11	-0.19	-0.26
YKL188C	-0.73	-0.21	-1.17	-1.05	-1.66	-0.54	-0.51	-0.45	-0.63	-1.13	-0.55	-0.87	-0.36	-0.22	0	-0.64	-0.79	-0.39
YKL187C	0.39	0.62	0.38	0.5	-0.54	0.36	-0.48	0.48	0	0.21	0.81	0.29	-0.08	0.38	0.11	0.47	-0.04	0.2
YKL220C	0.19	0.09	0.28	0.11	0.27	-0.29	0.21	-0.06	0.15	0.02	0.88	-0.15	0.5	-0.02	0.92	0.42	0.34	0.01
YKL186C	-0.17	-0.32	-1.02	-0.48	-0.09	-0.19	-0.07	-0.12	0.07	0.1	0.03	-0.01	-0.08	-0.35	-0.82	-0.39	-0.19	-0.07
YKL185W	-0.48	-1.53	-0.62	-1.75	-1.88	0	0	0	-0.59	1.51	1.57	0.6	-0.22	-0.38	-1.1	-0.93	-1.22	0.42
YKL184W	0.27	0.21	0.24	0.39	0.18	0.15	0.19	0.29	0.39	0.35	0.18	0.09	0.15	0.25	0.09	0.22	-0.12	0.34
NORF 3	0	1.8	0.37	0.37	0.15	0.2	0.08	0.16	0.13	-0.21	0	-0.43	-0.41	-0.88	-0.66	-0.2	-0.39	-0.19
YKL183W	-0.29	-0.04	-0.28	-0.03	0.21	0.59	0.15	0.51	0.49	0.16	0.4	-0.06	-0.32	0.34	0.22	0.54	0.16	0.09
YLR431C	0.16	-0.15	-0.36	-0.29	-0.33	-0.39	-0.13	-0.34	0	-0.24	-0.09	-0.22	-0.22	-0.64	-0.64	0.1	-0.27	-0.13
YLR432W	-0.08	-0.25	-0.78	-0.51	-0.83	-0.41	-0.3	-0.36	-0.07	0.05	-0.1	-0.04	-0.13	-0.3	-0.11	0.06	-0.18	-0.02
YLR433C	0.37	-0.13	-0.45	-0.42	-0.26	-0.47	-0.43	-0.5	-0.19	-0.33	0.01	-0.27	-0.03	-0.07	-0.13	0	-0.28	-0.2
YLR434C	-0.14	-0.21	-1.14	-0.35	-0.84	-0.01	-0.5	-0.09	-0.27	-0.38	-0.43	-0.27	-0.21	-0.48	0	-0.16	-0.1	-0.16
YLR435W	0.37	-0.28	-0.62	-0.37	-0.26	0.12	-0.14	0.26	0.16	0	0.06	-0.05	-0.06	-0.17	-0.3	0.12	-0.04	0.05
YLR436C	-0.57	-0.2	-0.6	-0.24	-0.58	-0.25	0.03	-0.57	-0.41	-0.33	-0.38	0.11	-0.27	-0.34	-0.42	0	-0.52	-0.3
YLL021W	-0.82	-0.09	-0.58	0.37	0.06	-0.12	0.18	-0.06	-0.13	-0.14	0.06	0.12	0.16	0	-0.1	0.45	-0.34	-0.24
YLR437C	-0.46	-0.35	-0.51	0.02	-0.03	0.01	0.4	0.05	0.16	0.01	0	-0.34	-0.14	0.08	0.21	0.46	-0.08	-0.18
YLR438W	-2.12	-1.01	-1.11	-0.63	-0.46	0.23	0.82	0.61	0.92	0.54	0.17	-0.01	-0.41	-1.11	-0.81	-0.18	-0.48	-0.33
NORF 4	-0.17	1.58	1.31	1.2	-0.1	0.19	0.01	-0.01	0.2	-0.02	0.17	-0.27	-0.25	-0.25	-0.04	-0.31	0.3	-0.21
YLR439W	-0.03	-0.25	-0.22	0.1	-0.04	-0.13	0.04	-0.13	0.04	-0.19	-0.09	-0.35	-0.12	0.2	-0.2	0.15	-0.25	-0.43
YLR440C	-0.07	-0.41	-0.2	-0.9	-0.15	-0.32	0.3	-0.04	-0.01	-0.07	-0.35	-0.12	-0.26	-0.26	-0.32	-0.15	-0.08	-0.07
YLR441C	0.28	-0.35	-0.17	-0.01	0.1	-0.15	0.15	-0.16	0.25	-0.04	0.33	-0.1	0.23	-0.05	0.6	0.14	0.25	0.13
YLR442C	-0.2	-0.79	-0.41	-1.1	-0.16	-0.46	-0.16	0.17	-0.04	-0.22	-0.15	-0.32	-0.32	-0.27	-0.27	-0.16	-0.47	0.05
YLR443W	0.43	0.11	0.4	0.38	0.15	0.46	0.25	0.34	0.06	-0.26	-0.13	-0.05	0.17	0.02	0.33	0.15	-1.21	0.03
YLR444C	0.27	0.1	0.19	-0.54	0.19	0.09	0.23	1	-0.1	-0.15	-0.11	-0.09	0.12	-0.01	0.13	-0.08	0.1	0.04
YLR445W	0.11	0.03	0.16	-0.13	0.15	0.62	0.22	0.19	-0.3	-0.2	-0.82	0.2	-0.02	0.22	-0.3	-0.02	0	0.1
YLR446W	-0.18	-0.04	-0.5	-1.35	-0.27	-0.42	-0.15	-0.24	-0.11	-0.39	-0.25	-0.17	-0.32	-0.41	-0.31	-0.41	-0.27	0.02
YLR447C	0.05	-0.31	-0.19	-0.12	-0.06	-0.1	0	-0.15	-0.09	-0.12	0	-0.32	-0.11	-0.31	0.13	-0.16	0.23	-0.14
NORF 5	0	1.53	0	0.49	-0.21	0	-0.93	-0.91	-0.77	-1.11	0	0	-1	0	-0.4	-0.49	0	0
YLR448W	-0.04	-0.23	-0.28	-0.92	-0.31	-0.44	0	-0.27	-0.1	0.1	-0.13	-0.24	-0.05	-0.05	0.12	-0.2	-0.07	0.03
YLR449W	0.4	-0.23	-0.25	-0.06	-0.16	0.07	0.17	0.16	0.17	0.25	0.19	0.2	0.05	0.3	0.33	0.23	0.41	0.26
YLR450W	0.08	0.11	-0.17	-0.65	-0.12	-0.34	-0.01	-0.44	-0.18	-0.2	-0.25	-0.1	-0.08	-0.09	-0.19	-0.08	-0.06	0
YLR451W	0.29	-0.42	-0.23	-0.08	0.05	-0.13	-0.02	0.05	-0.1	-0.12	-0.27	-0.07	-0.01	0.12	0.1	-0.06	0.24	0.02
YLR452C	0	1.29	-0.79	-0.96	-1.31	-0.55	-1.04	-0.88	-0.98	-0.28	-0.5	-0.01	-0.29	-0.16	-0.54	-0.4	-0.1	0.4
YLR453C	0.14	-0.17	-0.15	-0.19	-0.52	-0.2	-0.24	0.14	-0.01	-0.42	-0.38	-0.18	-0.34	-0.37	-0.89	0.14	-0.27	-0.02
YLR454W	0.11	0.53	-0.59	-0.57	-0.61	-1.24	-0.74	-1.05	-0.37	-0.86	0.04	-0.66	-0.47	-0.66	-0.12	-0.28	-0.71	-0.28
YLR455W	-0.05	-0.32	-0.69	0.03	-0.11	0.57	0.38	0.26	-0.02	-0.55	-0.47	-0.27	0.03	0.28	0.32	0.55	0.15	-0.11
YLR456W	-0.13	0.24	0	-0.02	0	-0.24	-0.81	-0.48	-0.47	-1.67	-1.1	0.24	-0.23	-1.6	0	-0.64	-0.36	-0.29
YLL020C	-0.22	0.46	0.1	0.26	-0.23	0.14	-0.43	0.17	-0.18	-0.23	-0.02	0.07	-0.12	0.06	-0.08	-0.06	-0.11	-0.27
NORF 6	-0.49	-0.01	-0.92	0.11	-0.74	-0.35	-0.56	-0.44	-1.1	-0.86	-0.84	-0.86	-0.84	-0.48	-0.8	-0.81	-0.32	-0.72
YLR457C	0.04	0.17	0.47	0.52	0.03	0.05	-0.19	-0.2	-0.22	-0.51	0.14	0.45	-0.1	-0.04	-0.53	-0.04	-0.24	-0.37
YLR458W	-0.39	0.16	-0.19	0.28	-1.29	0.15	0	0.15	0.28	-0.12	0	0.39	0.07	-0.47	0	-0.17	0.02	-0.1
YLL019C	-0.49	0.04	-0.18	0.29	-0.71	-0.2	-0.57	-0.41	-0.47	-0.12	-0.17	0.14	-0.04	-0.21	-0.4	0.07	-0.41	-0.12
